MOUSE_GENE_SYM	HUMAN_GENE_SYM
Nid2	NID2
Prss21	PRSS21
Slc30a4	SLC30A4
Cd83	CD83
Tmem245	TMEM245
Trabd	TRABD
Mbp	MBP
Bmp1	BMP1
Pdcl2	PDCL2
Rcl1	RCL1
Sbf1	SBF1
Spata31	SPATA31A1
Pcdh15	PCDH15
Adap1	ADAP1
Six6	SIX6
Dok5	DOK5
Nmrk1	NMRK1
Mir222	MIR222
Kcnu1	KCNU1
Tert	TERT
Pigb	PIGB
Chrna9	CHRNA9
Mex3d	MEX3D
Top1	TOP1
Nfkbia	NFKBIA
Kif24	KIF24
Klhdc2	KLHDC2
Wdr1	WDR1
Cckar	CCKAR
Sycp2l	SYCP2L
Scgn	SCGN
Lsm7	LSM7
Kctd9	KCTD9
Metrn	METRN
Gnpnat1	GNPNAT1
Ripk3	RIPK3
Alad	ALAD
Mir491	MIR491
Pygl	PYGL
Ppat	PPAT
Tbc1d24	TBC1D24
Galnt12	GALNT12
Serpinb11	SERPINB11
Emc4	EMC4
Tep1	TEP1
Ncln	NCLN
Pip5k1c	PIP5K1C
Gm24763	RNU2-47P
Mageb16	MAGEB16
Mir501	MIR501
Stam	STAM
Sema5a	SEMA5A
Tjp2	TJP2
Tnfrsf13c	TNFRSF13C
Tada2b	TADA2B
Fkbp14	FKBP14
Cndp2	CNDP2
Asb11	ASB11
Pdgfrl	PDGFRL
Sall3	SALL3
Actc1	ACTC1
Fkbp4	FKBP4
Kif13b	KIF13B
Fam234a	FAM234A
Crhr2	CRHR2
Mob3a	MOB3A
Ttyh3	TTYH3
Serf2	SERF2
Ap3m2	AP3M2
Pak6	PAK6
Elavl2	ELAVL2
Sema4d	SEMA4D
Mrpl54	MRPL54
Fgfbp1	FGFBP1
Gars	GARS1
Cntfr	CNTFR
Tnks	TNKS
Gpr137c	GPR137C
Gnl1	GNL1
BC052040	CDIN1
Rnf144b	RNF144B
Prag1	PRAG1
Frmpd4	FRMPD4
Pnn	PNN
Tubb1	TUBB1
D030056L22Rik	C9orf40
Dusp26	DUSP26
Pdcd1lg2	PDCD1LG2
Sms	SMS
Rnf182	RNF182
Naa30	NAA30
Usp42	USP42
Frmd4a	FRMD4A
Ebp	EBP
Ccin	CCIN
Fbln1	FBLN1
Ciao3	CIAO3
Ncaph2	NCAPH2
Ninj1	NINJ1
Wipi2	WIPI2
Kdm1b	KDM1B
Mapk12	MAPK12
Pigo	PIGO
Yme1l1	YME1L1
Cebpe	CEBPE
Tlr6	TLR6
Cdk20	CDK20
Slc2a10	SLC2A10
Jmjd8	JMJD8
Rpgr	RPGR
Pcgf3	PCGF3
Gldn	GLDN
Polr1e	POLR1E
Bmp6	BMP6
Fbxl18	FBXL18
Shf	SHF
Olfr729	OR4K5
Clec14a	CLEC14A
Olfr722	OR4N5
Arfgef2	ARFGEF2
Apba3	APBA3
Rhot2	RHOT2
Ttc38	TTC38
Haghl	HAGHL
Mtpap	MTPAP
Fut10	FUT10
Mxd4	MXD4
Plag1	PLAG1
Sdcbp	SDCBP
Hus1b	HUS1B
Scg3	SCG3
Ap1g2	AP1G2
Frrs1l	FRRS1L
Snx10	SNX10
Rac1	RAC1
Prr15	PRR15
Tpgs1	TPGS1
Egfl6	EGFL6
Ndufa6	NDUFA6
Meig1	MEIG1
Tmem204	TMEM204
Sephs1	SEPHS1
Hba-x	HBZ
Gtse1	GTSE1
Slc24a2	SLC24A2
Mir486	MIR486-1
Pak1ip1	PAK1IP1
Zfhx2	ZFHX2
Matn4	MATN4
Rmdn3	RMDN3
Arl5b	ARL5B
Chkb	CHKB
Plekhj1	PLEKHJ1
Serpinb8	SERPINB8
Fam227b	FAM227B
Cdh26	CDH26
Crppa	CRPPA
Psip1	PSIP1
Slc29a4	SLC29A4
Dll4	DLL4
Foxc1	FOXC1
Tbc1d22a	TBC1D22A
Zfp213	ZNF213
Mirlet7c-2	MIRLET7A3
Sdr39u1	SDR39U1
Zfp37	ZFP37
Wdr31	WDR31
Mageb18	MAGEB18
Ccdc175	CCDC175
Trpm1	TRPM1
Slc9a7	SLC9A7
Npas3	NPAS3
Agmo	AGMO
Psma2	PSMA2
Diras2	DIRAS2
Spag6	SPAG6
Nop10	NOP10
Rgs3	RGS3
Mapk11	MAPK11
Terb2	TERB2
Mrc1	MRC1
Plk5	PLK5
Gm24131	RNU6-994P
Prkch	PRKCH
Cdkal1	CDKAL1
Gata4	GATA4
C1qtnf7	C1QTNF7
Tdrd7	TDRD7
Hmg20b	HMG20B
Hoxa13	HOXA13
Efs	EFS
Atp8a1	ATP8A1
Gpm6b	GPM6B
Wdhd1	WDHD1
Serpinb2	SERPINB2
Pcmtd1	PCMTD1
Abhd16b	ABHD16B
Mei1	MEI1
Carnmt1	CARNMT1
Golm1	GOLM1
Gm24448	RNU6-29P
Gadd45g	GADD45G
Mir33	MIR33A
Tshz1	TSHZ1
Skap2	SKAP2
Psmb11	PSMB11
Prss51	AZU1
Tec	TEC
Ganc	GANC
Nedd8	NEDD8
Ifnk	IFNK
Rln1	RLN2
Mipol1	MIPOL1
Msantd3	MSANTD3
Srpx	SRPX
Dmxl2	DMXL2
Dok6	DOK6
Rab26	RAB26
Pomk	POMK
Mrpl50	MRPL50
Slc28a3	SLC28A3
Sos2	SOS2
Nrip2	NRIP2
Fbp2	FBP2
Tmem128	TMEM128
Gm23201	SNORD12B
Rfc1	RFC1
Sel1l3	SEL1L3
Gm1673	C4orf48
Hoxa7	HOXA7
Ropn1l	ROPN1L
Afap1	AFAP1
Magix	MAGIX
Adamdec1	ADAMDEC1
Ppp3cc	PPP3CC
Idi1	IDI1
Onecut3	ONECUT3
Trim15	TRIM15
Adarb2	ADARB2
Rem2	REM2
Macc1	MACC1
Nfib	NFIB
Rpa3	RPA3
Snord32a	SNORD32B
Mpdz	MPDZ
Dnajc17	DNAJC17
Zfp438	ZNF438
Rab22a	RAB22A
Marchf8	MARCHF8
Tmem189	PEDS1
Spin1	SPIN1
Usp50	USP50
Phactr3	PHACTR3
Nelfa	NELFA
Rnase13	RNASE13
Gm24521	RNU6-1084P
Maoa	MAOA
Gabrg1	GABRG1
Olfr95	OR10C1
Mrs2	MRS2
Gm23407	RNU6-1204P
Gm22155	RNU1-134P
Kcng2	KCNG2
Pkmyt1	PKMYT1
Ccny	CCNY
Trav18	TRAV27
Stmn3	STMN3
Sigmar1	SIGMAR1
Cybb	CYBB
Hoxa3	HOXA3
Fxn	FXN
Srebf2	SREBF2
Sirt5	SIRT5
Fam209	FAM209A
Serpinb12	SERPINB12
Armc4	ARMC4
Rmrp	RMRPP5
Pim3	PIM3
Dkk1	DKK1
Cap2	CAP2
Igfals	IGFALS
Clnk	CLNK
Atp5l	ATP5MGL
Neil2	NEIL2
Hcn2	HCN2
Cdh19	CDH19
Mcrip2	MCRIP2
Lrrc18	LRRC18
Gemin8	GEMIN8
Dusp4	DUSP4
Aqr	AQR
Gpr82	GPR82
Eri1	ERI1
Gata5	GATA5
Gna15	GNA15
Tmem106b	TMEM106B
Olfr734	OR4M1
Ube2r2	UBE2R2
Pcsk1n	PCSK1N
Prpf39	PRPF39
Rabggta	RABGGTA
Snora78	SNORA78
Plppr1	PLPPR1
Tmeff1	TMEFF1
Ifnb1	IFNB1
Trim40	TRIM40
Atp9a	ATP9A
Ss18l1	SS18L1
Ndufa4	NDUFA4
Shc3	SHC3
Tpmt	TPMT
Hdac6	HDAC6
Cdca2	CDCA2
Slc7a7	SLC7A7
Zrsr1	ZRSR2
Rasl11b	RASL11B
Ythdf3	YTHDF3
Cdc123	CDC123
Phex	PHEX
Ikbkb	IKBKB
Prxl2c	PRXL2C
Exd1	EXD1
Gm24533	RNU105C
Ppp1r3f	PPP1R3F
Cemip2	CEMIP2
Nedd9	NEDD9
Abhd17b	ABHD17B
Corin	CORIN
Txlng	TXLNG
Zfp169	ZNF169
Dock5	DOCK5
Lrrc19	LRRC19
Wac	WAC
Sav1	SAV1
Mrgbp	MRGBP
Lrrc9	LRRC9
Vapb	VAPB
Lsm14b	LSM14B
Nhlrc1	NHLRC1
1700001L19Rik	C5orf49
Npy4r	NPY4R
Fgl1	FGL1
Car8	CA8
Gjd2	GJD2
Slc6a18	SLC6A18
Zdhhc21	ZDHHC21
Insm2	INSM2
Zfp64	ZFP64
Nlrc3	NLRC3
Abhd17a	ABHD17A
Enho	ENHO
Tob2	TOB2
Rnf38	RNF38
Entpd4b	ENTPD4
Xkr6	XKR6
Pnpla5	PNPLA5
Cd274	CD274
S1pr3	S1PR3
Gne	GNE
Zhx3	ZHX3
Gkap1	GKAP1
Nfx1	NFX1
Six4	SIX4
Reep6	REEP6
Pgbd1	PGBD1
Ppp1r10	PPP1R10
Rhno1	RHNO1
Ndufb6	NDUFB6
Grpel1	GRPEL1
Rhobtb2	RHOBTB2
Timm21	TIMM21
Ubap2	UBAP2
Auh	AUH
Serinc4	SERINC4
Nkd2	NKD2
Rad23b	RAD23B
Dmac1	DMAC1
Selenoo	SELENOO
Ubxn8	UBXN8
Cnga1	CNGA1
Zcchc7	ZCCHC7
Rhoh	RHOH
Il25	IL25
Mak16	MAK16
Mtap	MTAP
Fgf20	FGF20
Gad2	GAD2
Atp6ap2	ATP6AP2
Samd4	SAMD4A
Ppdpf	PPDPF
Psma6	PSMA6
Trim10	TRIM10
Plxnb2	PLXNB2
Gspt2	GSPT2
Izumo3	IZUMO3
Hoxa4	HOXA4
Rell1	RELL1
Dcaf12	DCAF12
Dazap1	DAZAP1
Prtg	PRTG
Clcn7	CLCN7
Katnbl1	KATNBL1
Tmem156	TMEM156
Sox18	SOX18
Mtmr10	MTMR10
Ubr1	UBR1
Dcaf8l	DCAF8L2
Wfdc8	WFDC8
Gm25204	RNU6-800P
Tedc2	TEDC2
Tlr1	TLR1
Dcp1b	DCP1B
Phf21b	PHF21B
Nyx	NYX
Ttc39b	TTC39B
Tbc1d1	TBC1D1
Piga	PIGA
Ap4e1	AP4E1
Fbxo33	FBXO33
Hr	HR
Sat1	SAT1
Tmem165	TMEM165
Cdkn3	CDKN3
Myorg	MYORG
Nedd4	NEDD4
Scamp4	SCAMP4
Mir24-1	MIR24-1
Gm25155	SNORD116-1
Gm1043	C4orf50
Trav9n-2	TRAV8-1
Fam177a2	FAM177A1
Gm24797	RNU6-656P
Mir124a-2	MIR124-2
Trav12d-1	TRAV18
Pigbos1	PIGBOS1
Trav11d	TRAV10
Trav7d-5	TRAV12-1
Gm42517	TMEM271
Olfr730	OR4K2
H3c10	H3C3
Fam240b	FAM240B
Gm5294	FOXL3
Rnf212b	RNF212B
H2bc9	H2BC4
H3c11	H3C7
Gm7271	EXOC1L
Olfr738	OR11G2
Ntn3	NTN3
Frmpd2	FRMPD2
Dnaaf4	DNAAF4
Jmjd7	JMJD7
Snord8	SNORD8
Zfp853	ZNF853
Gm25431	RNU6-541P
Serpinb10	SERPINB10
Cfap99	CFAP99
Shisa8	SHISA8
1700020D05Rik	NSMCE3
Mir873b	MIR873
Prps1l1	PRPS1L1
Gm29776	LMLN2
Gm15262	BEND2
H2bc14	H2BC5
Olfr723	OR4L1
Gm24861	RNU6-842P
Gm24753	RNU6-9
Olfr733	LINC02203
Gm29797	C20orf204
Bend4	BEND4
Olfr156	OR13C7
Rn7s2	RN7SL2
Gm17266	C18orf63
Snurf	SNURF
Gm23730	RNU6-492P
Rn7s1	RN7SL1
Lsm5	LSM5
Gm26335	RNU6-263P
Gm6525	RPL36AL
Gm23725	RNU6-188P
Snrpn	SNRPN
Sco2	SCO2
Gm36028	BTN3A1
Smim18	SMIM18
Olfr1513	OR10G3
Slc18a3	SLC18A3
Hspa14	HSPA14
Smim13	SMIM13
Gm23355	RNU6-17P
Klhdc7b	KLHDC7B
Trdc	TRDC
Gm23412	RNU6-1103P
Gm20379	HMGN4
Gm23186	RNU6-554P
Olfr1360	OR2B2
Eid1	EID1
Snord93	SNORD93
Adat3	ADAT3
Trav23	TRAV39
Asmt	ASMT
Ticam1	TICAM1
Wdr36	WDR36
Runx2	RUNX2
Mir200b	MIR200B
Ipmk	IPMK
Ddx50	DDX50
Tecrl	TECRL
Lhcgr	LHCGR
Capsl	CAPSL
Gtf2a1	GTF2A1
Etfrf1	ETFRF1
Kpna7	KPNA7
Rlim	RLIM
Prim2	PRIM2
Itgax	ITGAX
Olfr357	OR1Q1
Gdf9	GDF9
Ttc1	TTC1
Grrp1	FAM110D
Tmem200a	TMEM200A
Tnfrsf11b	TNFRSF11B
Ddx56	DDX56
C9	C9
Gm20772	SPIN2B
Nppa	NPPA
Hipk2	HIPK2
Prr19	PRR19
Sh3rf1	SH3RF1
Cep128	CEP128
Lypd4	LYPD4
Hand2	HAND2
Fank1	FANK1
Klrb1f	KLRB1
Lgr4	LGR4
BC048403	C12orf66
Hsh2d	HSH2D
Ciapin1	CIAPIN1
Peg10	PEG10
Clip2	CLIP2
Rbm27	RBM27
Mesp2	MESP2
Slc22a13	SLC22A13
Chd1	CHD1
Actr1a	ACTR1A
Gfod2	GFOD2
Srrm3	SRRM3
Slc6a7	SLC6A7
Slc9a1	SLC9A1
Tbc1d22b	TBC1D22B
Tnfsf14	TNFSF14
Ccl28	CCL28
Lipm	LIPM
Pou4f2	POU4F2
Hspa1a	HSPA1A
Slc45a2	SLC45A2
Brs3	BRS3
Fam174b	FAM174B
Ccdc88c	CCDC88C
Dnajc14	DNAJC14
Spag1	SPAG1
Fbxo2	FBXO2
Fem1al	FEM1A
Neil3	NEIL3
Mpped2	MPPED2
Erich5	ERICH5
Smim41	SMIM41
Ctnna1	CTNNA1
Lrpprc	LRPPRC
Hmox2	HMOX2
Hint3	HINT3
Olfr788	OR6C3
Zfy2	ZNF561
Anks3	ANKS3
Lipa	LIPA
Rfxank	RFXANK
Hmgcs1	HMGCS1
4930415O20Rik	TEX49
Aspg	ASPG
Hddc2	HDDC2
Adam10	ADAM10
C4b	C4A
Cacfd1	CACFD1
Cyp4a30b	CYP4F12
Cct6a	CCT6A
Slc8a3	SLC8A3
Ctrc	CTRC
Zfp319	ZNF319
Ifitm6	IFITM2
Mir34a	MIR34A
Strip2	STRIP2
Ptges	PTGES
Med7	MED7
Ccdc167	CCDC167
Trim50	TRIM50
Slc7a11	SLC7A11
Rbmx2	RBMX2
Gfra1	GFRA1
Psmc3	PSMC3
Epha8	EPHA8
Klhl18	KLHL18
Snrpa	SNRPA
Olfr847	OR7G2
Mir652	MIR652
Snora68	SNORA68
Vti1b	VTI1B
Gpr65	GPR65
Hdgfl2	HDGFL2
Polh	POLH
Gm24499	RNU6-254P
Rpl36	RPL36
Mrgpra2b	MRGPRX3
Kctd15	KCTD15
Gm5414	KRT6B
Gm16381	UBL5
Ak1	AK1
Rtl5	RTL5
Rpl7l1	RPL7L1
Cpsf3	CPSF3
Cd99l2	CD99L2
H2-Ea	HLA-DRA
Clip4	CLIP4
Cyp4f37	CYP4F8
Mtss1	MTSS1
Xrcc4	XRCC4
Srsf5	SRSF5
Rag1	RAG1
Med23	MED23
Eef1d	EEF1D
Tnfaip8	TNFAIP8
Tgfbr3l	TGFBR3L
Tas2r130	TAS2R7
Mical1	MICAL1
Slc22a4	SLC22A4
Clec16a	CLEC16A
Spryd4	SPRYD4
Spata4	SPATA4
Far1	FAR1
Tmem229a	TMEM229A
As3mt	AS3MT
Bnip5	BNIP5
Pcdhb22	PCDHB15
Alg10b	ALG10
Phka1	PHKA1
Pyroxd2	PYROXD2
Fam160a1	FAM160A1
Zfp771	ZNF771
Jph1	JPH1
Nr2f2	NR2F2
Htr6	HTR6
Snord14a	SNORD14B
Slc6a11	SLC6A11
Tprn	TPRN
Plppr2	PLPPR2
Ccdc71	CCDC71
Dolpp1	DOLPP1
Blvrb	BLVRB
Rdh16f2	RDH16
Eif5a	EIF5AL1
Olfr1565	OR4X2
Cenps	CENPS
Kcnk6	KCNK6
Cpa5	CPA5
Tmem28	FAM155B
Id2	ID2
Ighv1-62-1	IGHV1-24
Nelfb	NELFB
Mir138-2	MIR138-2
Cpsf4	CPSF4
Slu7	SLU7
Necap2	NECAP2
Tube1	TUBE1
Mrps10	MRPS10
Matr3	MATR3
Rpa2	RPA2
Mdc1	MDC1
Dio2	DIO2
Aebp1	AEBP1
Amfr	AMFR
Nudt12	NUDT12
Tas2r125	TAS2R14
Nbas	NBAS
Clec4a1	CLEC4A
Prdm11	PRDM11
Ctdsp2	CTDSP2
Olfr689	OR56B4
Mrps11	MRPS11
Olfr508	OR5P3
Slc23a1	SLC23A1
Ctr9	CTR9
Bcl7b	BCL7B
Mir363	MIR363
Gm24144	RNU6-1104P
Slc25a38	SLC25A38
Ing4	ING4
Taar2	TAAR2
Gpam	GPAM
Insyn1	INSYN1
Rexo4	REXO4
Cast	CAST
Ccdc177	CCDC177
Jagn1	JAGN1
Zfp455	ZNF429
Otoa	OTOA
Tfap2b	TFAP2B
Dennd1c	DENND1C
Tafa2	TAFA2
Fmnl3	FMNL3
Fam161a	FAM161A
Etfa	ETFA
Snord87	SNORD87
Gnrhr	GNRHR
Camkv	CAMKV
D430041D05Rik	KIAA1549L
Sema6a	SEMA6A
Ism2	ISM2
Lactb2	LACTB2
Cdh5	CDH5
Nphp4	NPHP4
Gm23207	RNU6-888P
Rps18-ps5	RPS18
Abcd4	ABCD4
Snora28	SNORA28
Tbc1d12	TBC1D12
Zfp7	ZNF7
Cox6b1	COX6B1
Cox7a1	COX7A1
9130401M01Rik	C8orf76
Pdlim5	PDLIM5
Nsmce2	NSMCE2
Sin3a	SIN3A
Golga4	GOLGA4
Trim61	TRIM61
Snord90	SNORD90
Kdm5c	KDM5C
Sbsn	SBSN
Esr2	ESR2
Trappc12	TRAPPC12
Epb41	EPB41
Stmn1	STMN1
Cdx1	CDX1
Mrps17	MRPS17
Fut9	FUT9
Wdr34	DYNC2I2
Mrpl17	MRPL17
Tmem50a	TMEM50A
Cmpk2	CMPK2
Tbc1d21	TBC1D21
Olfr661	OR56B2P
Cmtr2	CMTR2
Ccdc88a	CCDC88A
Grk5	GRK5
Cdc42	CDC42
Parn	PARN
Smim8	SMIM8
Rhbdd2	RHBDD2
Ibsp	IBSP
Ccdc65	CCDC65
Gramd2	GRAMD2A
Rps16	RPS16
Olfr470	OR5P2
Gm23567	RNU6-757P
Pcdhb13	PCDHB6
Palb2	PALB2
Plk4	PLK4
Pias1	PIAS1
Mir29a	MIR29A
Tedc1	TEDC1
Pdzd11	PDZD11
Id3	ID3
Pcdha9	PCDHA10
Mir374c	MIR374A
Cdhr3	CDHR3
Gpd1l	GPD1L
Sytl4	SYTL4
Srp72	SRP72
Olfr694	OR2AG1
Rgr	RGR
Lhfpl5	LHFPL5
Pi16	PI16
Als2cl	ALS2CL
Wdr55	WDR55
Cnot8	CNOT8
Kidins220	KIDINS220
Zup1	ZUP1
Mab21l2	MAB21L2
Gtpbp2	GTPBP2
Necab2	NECAB2
Ffar4	FFAR4
Col19a1	COL19A1
Mcmdc2	MCMDC2
Cd209c	CD209
Uqcrc1	UQCRC1
Myo9a	MYO9A
Map1b	MAP1B
Acp2	ACP2
Casc1	CFAP94
Kcne1l	KCNE5
Fam135b	FAM135B
Dnajc22	DNAJC22
Ik	IK
Rps10	RPS10-NUDT3
Vipas39	VIPAS39
Olfr829	OR7G1
Rpp30	RPP30
Kansl2	KANSL2
Lsm2	LSM2
Nxf2	NXF5
Rspry1	RSPRY1
Trappc5	TRAPPC5
Eloa	ELOA
Cwc27	CWC27
Steap4	STEAP4
Zc2hc1c	ZC2HC1C
Dab2	DAB2
4930451I11Rik	C16orf92
Gm24502	RNU6-1230P
Tspan4	TSPAN4
Gm2000	RPL35
Mir200c	MIR200C
Nktr	NKTR
Trim71	TRIM71
Unc5c	UNC5C
Itpk1	ITPK1
Defb41	DEFB110
Tmbim4	TMBIM4
Prlr	PRLR
Wdr5	WDR5
Slc35e2	SLC35E2B
Ano9	ANO9
Fra10ac1	FRA10AC1
Kctd7	KCTD7
Pacsin3	PACSIN3
Tnfrsf1b	TNFRSF1B
Gm25326	RNU6-633P
Adamtsl2	ADAMTSL2
Gabrb2	GABRB2
Gm20604	GON7
Rnd1	RND1
Adam25	ADAM20
Taf9	TAF9
Rasa4	RASA4B
Arhgef37	ARHGEF37
Septin11	SEPTIN11
Ino80e	INO80E
Pgpep1	PGPEP1
Yif1b	YIF1B
Med20	MED20
Npffr2	NPFFR2
Smad1	SMAD1
4930444P10Rik	C8orf89
Ttbk1	TTBK1
Kcnip2	KCNIP2
Tcerg1	TCERG1
Has2	HAS2
Gpr162	GPR162
Adamtsl3	ADAMTSL3
Csrnp2	CSRNP2
Anxa10	ANXA10
Eomes	EOMES
Olfr671	OR52E6
Vat1l	VAT1L
Gm26129	RNU6-37P
Zfp738	ZNF727
Timd2	HAVCR1
Iqsec1	IQSEC1
Spink2	SPINK2
Mrps18a	MRPS18A
Edrf1	EDRF1
Tshr	TSHR
Actl9	ACTL9
Abcb7	ABCB7
Nemp1	NEMP1
Kifc3	KIFC3
Adck1	ADCK1
Adk	ADK
Sufu	SUFU
Rab11b	RAB11B
Caly	CALY
Sptan1	SPTAN1
Sh3glb2	SH3GLB2
Nae1	NAE1
Cfap299	CFAP299
Zfp536	ZNF536
Rcn2	RCN2
Mettl27	METTL27
Crbn	CRBN
Slc30a5	SLC30A5
Trim34b	TRIM6-TRIM34
Mea1	MEA1
Igbp1	IGBP1
Cabcoco1	CABCOCO1
Prf1	PRF1
Guca1a	GUCA1A
Eaf1	EAF1
Enpp1	ENPP1
Bckdk	BCKDK
Gm25792	RNU6-496P
F8a	F8A1
Sdhaf1	SDHAF1
Fbln2	FBLN2
Pias4	PIAS4
Slc38a9	SLC38A9
Aqp6	AQP6
Sertad3	SERTAD3
Dcx	DCX
Maml3	MAML3
Grxcr2	GRXCR2
Atg7	ATG7
Fbxl22	FBXL22
Dhdds	DHDDS
Exosc4	EXOSC4
Cox7a2	COX7A2
Tcl1b1	TCL1B
Il9	IL9
Ugt2a1	UGT2A1
Gm12728	PPIA
Rfc2	RFC2
Cox7b	COX7B
Gtf2h2	GTF2H2C
Slc4a4	SLC4A4
Alkbh7	ALKBH7
Cd4	CD4
Zwint	ZWINT
Gtpbp3	GTPBP3
Arhgap18	ARHGAP18
Cphx3	CPHXL
2610301B20Rik	C8orf37
Vax1	VAX1
Nmral1	NMRAL1
Tubgcp2	TUBGCP2
Zfp641	ZNF641
Zfp366	ZNF366
Pqlc3	SLC66A3
Ifng	IFNG
Vwf	VWF
Tmem120a	TMEM120A
Minar1	MINAR1
Nkx6-2	NKX6-2
Fam135a	FAM135A
Ppp1r3a	PPP1R3A
Olfr804	OR6C6
Dennd11	DENND11
Rtl8b	RTL8C
Arl14epl	ARL14EPL
Olfr677	OR52E4
Chsy1	CHSY1
Uap1l1	UAP1L1
Rdh14	RDH14
Il13	IL13
Pgrmc2	PGRMC2
Olfr767	OR2AP1
Ttc16	TTC16
Kcnk16	KCNK16
Ube2q2	UBE2Q2
Ckb	CKB
Btbd10	BTBD10
Nucb2	NUCB2
Cfap46	CFAP46
Plac8	PLAC8
Matn2	MATN2
Proser3	PROSER3
Prxl2b	PRXL2B
Ccm2	CCM2
Endog	ENDOG
Uros	UROS
1110059G10Rik	KIAA1143
Atxn1l	ATXN1L
Psmc2	PSMC2
Emg1	EMG1
Tmem251	TMEM251
Ech1	ECH1
Usp5	USP5
Gucy1b1	GUCY1B1
Best2	BEST2
Gdf7	GDF7
Sycn	SYCN
Mir26a-1	MIR26A1
1700066B19Rik	SMIM33
Pcdha3	PCDHA3
Zp3	ZP3
Abce1	ABCE1
Cib3	CIB3
Mir505	MIR505
1700030K09Rik	C19orf44
Iqgap2	IQGAP2
Irf7	IRF7
Lhx6	LHX6
Gckr	GCKR
Ttll3	ARPC4-TTLL3
Hsd17b13	HSD17B13
Slc1a6	SLC1A6
Ppp1r35	PPP1R35
Trim75	TRIM22
Cdyl2	CDYL2
Jmjd1c	JMJD1C
Fam229b	FAM229B
Glb1	GLB1
Ins1	INS
Il12rb1	IL12RB1
Zfhx4	ZFHX4
Gm10358	GAPDH
Rad51b	RAD51B
1700102P08Rik	C3orf62
Ank2	ANK2
Kcna4	KCNA4
Mdh2	MDH2
Cyp8b1	CYP8B1
Mansc1	MANSC1
Gpr37	GPR37
Smpd2	SMPD2
Elmo3	ELMO3
Aqp5	AQP5
Rnf139	RNF139
Kcnf1	KCNF1
Chmp4c	CHMP4C
Cyp46a1	CYP46A1
Noa1	NOA1
Triml1	TRIML1
Zbtb22	ZBTB22
Hcn1	HCN1
Mon1a	MON1A
Coq9	COQ9
Arg2	ARG2
Psmd13	PSMD13
Mrpl20	MRPL20
Gm22433	SCARNA14
Cbr4	CBR4
Tollip	TOLLIP
Fezf1	FEZF1
Pianp	PIANP
Pex13	PEX13
Calcb	CALCB
Prex2	PREX2
Armc5	ARMC5
Serinc1	SERINC1
Gnao1	GNAO1
Dpy19l4	DPY19L4
Ltbr	LTBR
Cxcr6	CXCR6
Cnot1	CNOT1
Olfr715b	OR2D2
Ece1	ECE1
Vcan	VCAN
Rnf180	RNF180
Lztfl1	LZTFL1
Gng11	GNG11
Slc10a1	SLC10A1
Cela3b	CELA3B
Tas2r106	TAS2R10
Plbd1	PLBD1
Senp1	SENP1
Ndufa2	NDUFA2
Myo1g	MYO1G
Plxnb3	PLXNB3
Ston2	STON2
Rex2	ZNF34
Rnf8	RNF8
Pcgf6	PCGF6
Cpsf1	CPSF1
Pacs2	PACS2
Grik2	GRIK2
Wars	WARS1
Lsm6	LSM6
Morn1	MORN1
Ereg	EREG
0610010F05Rik	KIAA1841
Gm23506	RNU6-709P
Myo1e	MYO1E
Parp10	PARP10
Gm22858	SNORD53B
Ldb1	LDB1
Slc25a47	SLC25A47
Lamtor3	LAMTOR3
Igfbp3	IGFBP3
Rab11a	RAB11A
Cd74	CD74
4932438A13Rik	KIAA1109
Galnt10	GALNT10
Rad1	RAD1
Ubfd1	UBFD1
Gns	GNS
Setx	SETX
Rhob	RHOB
Morn4	MORN4
Ces1c	CES1
Tmprss11d	TMPRSS11D
Clec2e	CLEC2D
Irx3	IRX3
Hoga1	HOGA1
Cenpq	CENPQ
Fto	FTO
Pde4a	PDE4A
Fam181a	FAM181A
Tcf24	TCF24
Dph3	DPH3
Tmem167	TMEM167A
Pthlh	PTHLH
Ngb	NGB
E2f8	E2F8
Cc2d2b	CC2D2B
Utp15	UTP15
Ly6g6d	LY6G6D
Fam122c	FAM122C
Olfr2	OR6A2
Batf	BATF
Dhfr	DHFR
Fgd2	FGD2
Nsmce1	NSMCE1
Cep104	CEP104
Mmp19	MMP19
D630045J12Rik	KIAA1549
Scrg1	SCRG1
Ctag2l2	CTAG1A
Ankle1	ANKLE1
H2az2	H2AZ2
Vps33b	VPS33B
Cdh23	CDH23
Rnf207	RNF207
Adgrb1	ADGRB1
Trmt11	TRMT11
Elmod2	ELMOD2
Klhl13	KLHL13
Rwdd2a	RWDD2A
Fam166a	FAM166A
Lipc	LIPC
Kcng4	KCNG4
Cuedc2	CUEDC2
Tnip1	TNIP1
Arfgef1	ARFGEF1
Fbxo32	FBXO32
Hspg2	HSPG2
A430005L14Rik	C1orf174
Nudcd1	NUDCD1
Yipf5	YIPF5
Hoxc9	HOXC9
Fgl2	FGL2
Grpel2	GRPEL2
Sgpp1	SGPP1
Hydin	HYDIN
Timd4	TIMD4
Gm22019	RNU6-1250P
Cplx3	CPLX3
Resf1	RESF1
Dip2b	DIP2B
Colq	COLQ
Abcc12	ABCC12
Pcdhgc4	PCDHGC4
Cfap206	CFAP206
Spam1	SPAM1
Bfar	BFAR
Zbtb40	ZBTB40
Olfr780	OR6C68
Orc5	ORC5
Tmem178	TMEM178A
Phc1	PHC1
Fkbp11	FKBP11
Pip5kl1	PIP5KL1
